subj,rel,obj,subj_type,obj_type,cskg,annotator 1,annotator 2,annotator 3,gs
cluster analysis,uses,anisotropic neighborhood,Method,OtherEntity,0,1,0,1,1
cluster analysis,uses,ant colony optimization,Method,Method,1,1,1,1,1
cluster analysis,produces,approximated solution,Method,Method,1,1,1,1,1
cluster analysis,based-on,association,Method,Task,1,1,1,1,1
cluster analysis,limits,asymptotically tight bound,Method,OtherEntity,1,0,0,1,0
cluster analysis,produces,binding algorithm,Method,Method,0,0,1,0,0
cluster analysis,uses,bioinformatics,Method,Task,1,0,0,1,0
cluster analysis,uses,biological repository,Method,Material,0,1,0,1,1
cluster analysis,uses,cadenceaxlskill language,Method,OtherEntity,0,0,0,0,0
cluster analysis,improves,circuit delay performance,Method,Metric,0,1,0,0,0
cluster analysis,identifies,classsification problem,Method,Task,1,0,1,1,1
cluster analysis,uses,cloud specific characteristic,Method,OtherEntity,0,0,0,0,0
cluster analysis,affects,cluster center location,Method,OtherEntity,1,0,1,0,0
cluster analysis,contributes-to,cluster definition,Method,Method,1,1,1,1,1
cluster analysis,identifies,cluster definition,Method,Method,1,1,1,1,1
cluster analysis,predicts,cluster definition,Method,Method,1,0,1,0,0
cluster analysis,solves,cluster definition,Method,Method,1,1,1,0,1
cluster analysis,supports,cluster definition,Method,Method,1,1,1,1,1
cluster analysis,acquires,cluster head,Method,Method,1,1,1,0,1
cluster analysis,uses,cluster validation,Method,Method,1,1,1,1,1
cluster analysis,matches,clustering algorithms and technique,Method,Method,1,1,1,0,1
cluster analysis,produces,clustering algorithms and technique,Method,Method,1,0,1,0,0
cluster analysis,uses,clustering and concept learning technique,Method,Method,0,1,1,1,1
cluster analysis,acquires,clustering centre,Method,OtherEntity,1,1,1,0,1
cluster analysis,identifies,clustering centre,Method,OtherEntity,1,1,1,1,1
cluster analysis,solves,clustering example,Method,Material,1,1,1,0,1
cluster analysis,improves,clustering method,Method,Method,1,1,1,1,1
cluster analysis,matches,clustering method,Method,Method,1,0,1,0,0
cluster analysis,produces,clustering output,Method,OtherEntity,1,1,1,1,1
cluster analysis,uses,clustering problem,Method,Task,1,0,1,1,1
cluster analysis,produces,commercial company,Method,Material,0,0,0,0,0
cluster analysis,solves,community,Method,Material,1,1,0,0,0
cluster analysis,limits,computation resource and time cost,Method,Metric,1,1,1,1,1
cluster analysis,produces,cone,Method,Method,1,0,0,0,0
cluster analysis,acquires,constant expression,Method,OtherEntity,0,0,0,1,0
cluster analysis,uses,contextual ambiguity,Method,OtherEntity,0,1,0,1,1
cluster analysis,matches,continuous eigenvectors,Method,OtherEntity,0,0,0,0,0
cluster analysis,based-on,control development,Method,Task,0,0,0,1,0
cluster analysis,learns,crawling mechanism,Method,Method,0,0,0,0,0
cluster analysis,skos:broader/is/hyponym-of,cumbersome processing step,Method,OtherEntity,1,0,0,0,0
cluster analysis,skos:broader/is/hyponym-of,data and analysis technique,Method,Method,1,1,1,1,1
cluster analysis,uses,data mining application system,Method,Method,1,1,1,1,1
cluster analysis,supports,data routing idea,Method,Method,1,0,0,0,0
cluster analysis,uses,dbscan like approach,Method,Method,1,1,1,1,1
cluster analysis,uses,densities of data point,Method,OtherEntity,1,1,1,1,1
cluster analysis,produces,dgsot algorithm,Method,Method,1,0,1,0,0
cluster analysis,uses,direct current emergency load,Method,OtherEntity,0,0,1,0,0
cluster analysis,skos:broader/is/hyponym-of,discovery procedure,Method,Method,1,1,1,1,1
cluster analysis,based-on,dissimilarity value,Method,Metric,1,1,1,1,1
cluster analysis,uses,distance function,Method,Method,1,1,1,1,1
cluster analysis,uses,document clustering,Method,Task,1,1,1,1,1
cluster analysis,uses,ensemble of clustering method,Method,Method,1,1,1,1,1
cluster analysis,uses,entailment checking procedure,Method,Method,0,0,0,0,0
cluster analysis,uses,entropy metric,Method,Metric,1,1,1,1,1
cluster analysis,supports,estimated global optimal solution,Method,Method,0,1,0,1,1
cluster analysis,uses,evolutionary optimization,Method,Method,1,1,1,1,1
cluster analysis,uses,expectation maximization em based approach,Method,Method,1,1,1,1,1
cluster analysis,outperforms,extensible application,Method,Task,0,0,0,0,0
cluster analysis,executes,feature space,Method,OtherEntity,1,0,1,0,0
cluster analysis,includes,feature space,Method,OtherEntity,1,0,1,1,1
cluster analysis,uses,feature vector,Method,Method,1,1,1,1,1
cluster analysis,uses,features selection technique,Method,Method,1,1,1,1,1
cluster analysis,provides,fiber bundle,Method,OtherEntity,0,1,0,0,0
cluster analysis,uses,fixed point iteration,Method,Method,1,1,1,1,1
cluster analysis,provides,flat bed type optical scanner,Method,Method,0,0,0,0,0
cluster analysis,affects,function surface complexity,Method,OtherEntity,0,0,0,0,0
cluster analysis,improves,fuzzy c means approach,Method,Method,1,1,1,1,1
cluster analysis,uses,fuzzy c-means,Method,Method,1,1,1,0,1
cluster analysis,based-on,fuzzy string matching algorithm,Method,Method,1,0,1,1,1
cluster analysis,uses,gaussian mixture model,Method,Method,1,1,1,1,1
cluster analysis,based-on,generality calculation,Method,Method,0,0,0,0,0
cluster analysis,uses,getem,Method,Method,0,0,0,0,0
cluster analysis,uses,global density threshold,Method,OtherEntity,1,1,1,1,1
cluster analysis,analyzes,global utility,Method,Metric,0,1,0,0,0
cluster analysis,uses,gmm,Method,Method,1,1,1,1,1
cluster analysis,produces,grapheme codebook,Method,OtherEntity,0,0,0,0,0
cluster analysis,solves,grasped object,Method,Material,1,1,0,0,0
cluster analysis,uses,grasping contact,Method,OtherEntity,0,0,0,0,0
cluster analysis,uses,growing competitive neural network system,Method,Method,1,1,0,0,0
cluster analysis,based-on,helicopter hovering simulator,Method,Method,0,0,0,0,0
cluster analysis,uses,hier-archical clustering,Method,Method,1,1,1,0,1
cluster analysis,uses,hierarchical amr tree,Method,OtherEntity,0,1,1,0,1
cluster analysis,includes,highdimensional space,Method,Material,1,0,1,1,1
cluster analysis,uses,human factor studies of mi,Method,Task,0,0,0,0,0
cluster analysis,supports,human user,Method,Material,1,1,0,1,1
cluster analysis,supports,information architecture,Method,Method,0,1,0,0,0
cluster analysis,uses,information representing data,Method,OtherEntity,1,1,1,1,1
cluster analysis,uses,integer linear programming ilp formulation,Method,Method,1,0,0,1,0
cluster analysis,uses,intersequence resemblance,Method,OtherEntity,1,1,0,0,0
cluster analysis,uses,joint data distribution,Method,OtherEntity,0,1,0,1,1
cluster analysis,matches,k means clustering,Method,Method,1,0,1,1,1
cluster analysis,uses,k means like algorithm,Method,Method,1,1,1,1,1
cluster analysis,includes,k means like term,Method,OtherEntity,1,0,1,1,1
cluster analysis,uses,large size database,Method,Material,1,1,1,1,1
cluster analysis,manages,large sized data set,Method,Material,1,1,1,0,1
cluster analysis,uses,ldpc and turbo decoder,Method,Method,0,0,0,0,0
cluster analysis,uses,local refinement technique,Method,Method,0,1,1,1,1
cluster analysis,uses,location information,Method,Task,1,1,1,1,1
cluster analysis,skos:broader/is/hyponym-of,machine learning based algorithm,Method,Method,1,1,1,1,1
cluster analysis,skos:broader/is/hyponym-of,machine learning based software,Method,Method,1,0,1,1,1
cluster analysis,uses,manual rotary outer handle unlocking,Method,OtherEntity,0,0,0,0,0
cluster analysis,analyzes,manually labeled data example,Method,Material,1,1,1,1,1
cluster analysis,contributes-to,map-reduce,Method,Method,1,1,1,0,1
cluster analysis,uses,mean shift,Method,Method,1,1,1,0,1
cluster analysis,includes,medical image segmentation,Method,Task,1,1,1,1,1
cluster analysis,outperforms,medical image segmentation,Method,Task,1,0,0,0,0
cluster analysis,provides,model of computation,Method,Method,0,0,0,0,0
cluster analysis,skos:broader/is/hyponym-of,modulus,Method,Metric,0,0,0,0,0
cluster analysis,uses,morphological and syntactical approach,Method,Method,0,1,0,0,0
cluster analysis,executes,moving and stationary image part,Method,OtherEntity,0,0,0,0,0
cluster analysis,solves,multi clustering method,Method,Method,0,1,0,1,1
cluster analysis,analyzes,mutual information,Method,Metric,1,1,1,1,1
cluster analysis,uses,naive bayes nb model,Method,Method,0,0,0,1,0
cluster analysis,skos:broader/is/hyponym-of,nodal measure,Method,Metric,0,0,0,0,0
cluster analysis,matches,noise in question,Method,OtherEntity,0,0,0,0,0
cluster analysis,analyzes,non parametric kernel learning,Method,Method,0,0,1,1,1
cluster analysis,uses,normalisation method,Method,Method,1,1,1,1,1
cluster analysis,produces,numeric data,Method,Material,1,1,1,1,1
cluster analysis,provides,numerical optimization,Method,Method,1,1,1,0,1
cluster analysis,uses,numerical optimization,Method,Method,1,1,1,0,1
cluster analysis,based-on,ontology integration,Method,Task,1,1,0,0,0
cluster analysis,learns,optimal compact codebooks,Method,OtherEntity,1,0,0,0,0
cluster analysis,uses,ordinal query,Method,OtherEntity,0,0,0,0,0
cluster analysis,based-on,parameter learning,Method,Method,1,1,1,1,1
cluster analysis,classifies,patient to patient interaction,Method,OtherEntity,0,0,0,1,0
cluster analysis,uses,pattern of similarity,Method,OtherEntity,1,1,1,1,1
cluster analysis,uses,pcds approach,Method,Method,0,0,0,0,0
cluster analysis,uses,peak flow rate,Method,OtherEntity,0,0,0,0,0
cluster analysis,matches,pesa ii,Method,Method,1,0,0,0,0
cluster analysis,produces,points attractor,Method,OtherEntity,0,0,0,0,0
cluster analysis,acquires,power distribution device,Method,Method,0,0,0,0,0
cluster analysis,uses,principle component analysis,Method,Method,1,1,1,1,1
cluster analysis,uses,prior knowledge of cluster membership,Method,OtherEntity,0,1,1,1,1
cluster analysis,manages,priori classification scheme,Method,Method,0,1,0,0,0
cluster analysis,uses,probabilistic model of shape geometry,Method,Method,0,1,0,0,0
cluster analysis,uses,programable graphics hardware,Method,OtherEntity,0,1,0,0,0
cluster analysis,produces,radar emitter classification,Method,Task,0,1,0,0,0
cluster analysis,matches,radio communications signal,Method,Material,0,0,0,0,0
cluster analysis,uses,random diversification of node density,Method,OtherEntity,0,1,1,0,1
cluster analysis,acquires,random local image feature,Method,OtherEntity,0,1,0,0,0
cluster analysis,based-on,random walk method,Method,Method,1,1,0,1,1
cluster analysis,identifies,rare sen,Method,OtherEntity,1,0,0,0,0
cluster analysis,uses,rational reasoning capability,Method,OtherEntity,0,1,0,1,1
cluster analysis,uses,raw data set,Method,Material,1,1,1,1,1
cluster analysis,analyzes,real number of cluster,Method,OtherEntity,1,1,1,1,1
cluster analysis,uses,real world heterogeneous information network,Method,Task,0,1,0,1,1
cluster analysis,uses,rule base,Method,Method,1,1,0,1,1
cluster analysis,limits,search process time,Method,Metric,1,1,1,1,1
cluster analysis,uses,self organizing map som approach,Method,Method,1,1,1,0,1
cluster analysis,uses,semi supervised projected clustering algorithm,Method,Method,1,1,1,0,1
cluster analysis,contributes-to,sensor network,Method,Method,1,1,0,1,1
cluster analysis,uses,similarity measuring function,Method,Method,1,1,1,1,1
cluster analysis,extracts,spatially oriented wafer map,Method,OtherEntity,0,1,0,0,0
cluster analysis,uses,spectral based algorithm,Method,Method,1,1,1,0,1
cluster analysis,produces,speech primitive model,Method,Method,0,0,0,0,0
cluster analysis,includes,sql statement option,Method,OtherEntity,0,0,0,0,0
cluster analysis,skos:broader/is/hyponym-of,statistical methods and application,Method,Method,1,1,1,1,1
cluster analysis,uses,statistical model selection,Method,Task,1,1,1,1,1
cluster analysis,produces,sub aggregated piece,Method,OtherEntity,0,0,0,0,0
cluster analysis,uses,subnetwork marker,Method,OtherEntity,0,1,0,1,1
cluster analysis,skos:broader/is/hyponym-of,supervised classification learning method,Method,Method,1,0,0,1,0
cluster analysis,includes,supervised machine learning,Method,Method,1,1,0,0,0
cluster analysis,uses,supervised machine learning,Method,Method,1,1,0,1,1
cluster analysis,uses,support vector machines based approach,Method,Method,1,1,0,0,0
cluster analysis,skos:broader/is/hyponym-of,tcp prediction,Method,OtherEntity,0,0,0,0,0
cluster analysis,matches,temporal variability,Method,OtherEntity,0,0,0,0,0
cluster analysis,uses,text pre processing technique,Method,Method,1,1,1,0,1
cluster analysis,based-on,third generation x ray source,Method,Task,0,0,0,0,0
cluster analysis,supports,time series dataset,Method,Material,0,0,1,1,1
cluster analysis,supports,topological information,Method,OtherEntity,1,1,1,1,1
cluster analysis,executes,track extraction algorithm,Method,Method,0,0,1,0,0
cluster analysis,uses,transformer binding post,Method,OtherEntity,0,0,0,0,0
cluster analysis,uses,transforming data set,Method,Task,0,1,0,1,1
cluster analysis,includes,twist in subspace approach,Method,Method,0,0,0,0,0
cluster analysis,manages,un relaxed problem,Method,Task,0,0,0,0,0
cluster analysis,analyzes,unified framework model,Method,Method,1,0,0,0,0
cluster analysis,acquires,unknown application class,Method,OtherEntity,1,0,0,0,0
cluster analysis,uses,unsupervised clustering algorithm,Method,Method,1,1,1,0,1
cluster analysis,analyzes,unsupervised learning,Method,Method,1,1,1,1,1
cluster analysis,based-on,vanet,Method,Method,1,0,1,0,0
cluster analysis,uses,visualization,Method,Task,1,1,1,1,1
cluster analysis,learns,web data mining,Method,Task,1,0,1,1,1
cluster analysis,skos:broader/is/hyponym-of,web data mining,Method,Task,1,0,1,1,1
cluster analysis,identifies,weighted feature vector,Method,OtherEntity,0,1,1,1,1
cluster analysis,uses,weighted low rank approximation,Method,Method,0,1,1,1,1
cluster assignment,uses,deep learning,Method,Method,0,1,1,1,1
cluster based algorithm,includes,cluster analysis,Method,Method,1,1,1,0,1
cluster definition,executes,cluster analysis,Method,Method,1,1,1,0,1
cluster definition,includes,cluster analysis,Method,Method,1,1,1,0,1
cluster validity metric,analyzes,cluster analysis,Metric,Method,1,1,1,0,1
clustering energy consumption,matches,cluster analysis,Metric,Method,0,0,0,0,0
clustering error rate,proposes,cluster analysis,Metric,Method,0,0,0,0,0
clustering example,acquires,cluster analysis,Material,Method,0,0,0,0,0
clustering method,acquires,cluster analysis,Method,Method,1,1,1,0,1
clustering method,analyzes,cluster analysis,Method,Method,1,1,1,0,1
clustering method,uses,cluster analysis,Method,Method,1,1,1,1,1
clustering of the text document,uses,cluster analysis,Task,Method,1,1,1,1,1
clustering overhead,matches,cluster analysis,Metric,Method,0,0,0,0,0
clustering validation measure,uses,cluster analysis,Metric,Method,1,0,1,0,0
clusters of shape,uses,cluster analysis,OtherEntity,Method,1,1,1,0,1
code book,proposes,supervised machine learning,Material,Method,0,0,0,0,0
codebook of possible discrete observation,uses,cluster analysis,OtherEntity,Method,0,0,0,1,0
color based segmentation technique,supports,dimensionality reduction,Method,Task,0,1,1,0,1
column,uses,supervised machine learning,Material,Method,0,0,0,0,0
commitment and understanding store,acquires,supervised machine learning,OtherEntity,Method,0,0,0,0,0
common shared subspace,manages,dimensionality reduction,OtherEntity,Task,0,1,1,0,1
common terminology,acquires,cluster analysis,Material,Method,0,0,0,0,0
community,uses,cluster analysis,Material,Method,0,0,0,0,0
complete data source,uses,cluster analysis,Material,Method,0,0,0,0,0
complex activity,uses,cluster analysis,Material,Method,0,0,0,0,0
component selective encoding,learns,deep learning,Method,Method,0,0,0,0,0
comprehensive top down scheme,uses,decision tree,Method,Method,1,1,0,1,1
computational and numerical technique,includes,supervised machine learning,Method,Method,1,0,1,1,1
computational and numerical technique,uses,supervised machine learning,Method,Method,1,0,1,1,1
computational power,includes,supervised machine learning,Metric,Method,0,0,0,0,0
conditional modeling approach,uses,supervised machine learning,Method,Method,0,1,1,1,1
confidence module,uses,supervised machine learning,Method,Method,0,0,0,1,0
conformational b cell epitope residue,uses,supervised machine learning,OtherEntity,Method,0,0,0,0,0
consensus building,uses,cluster analysis,Task,Method,1,1,0,0,0
consolidation technique,acquires,deep learning,Method,Method,0,0,0,0,0
constrained agglomerative method,guides,cluster analysis,Method,Method,1,1,1,1,1
context data,uses,supervised machine learning,Material,Method,0,0,0,0,0
context dependent bigram,acquires,cluster analysis,Method,Method,0,0,0,0,0
context of consecutive feature vector,executes,deep learning,OtherEntity,Method,0,0,0,0,0
continuous action mdps,uses,deep learning,Method,Method,0,1,0,0,0
converged center,acquires,cluster analysis,OtherEntity,Method,1,0,0,0,0
conversation based messaging system,matches,cluster analysis,Method,Method,0,0,0,0,0
corpus based and structural approach,uses,cluster analysis,Method,Method,0,1,0,0,0
cross terminology translation,uses,supervised machine learning,Material,Method,0,0,1,1,1
cryptographic primitive,uses,supervised machine learning,Method,Method,0,0,0,1,0
ct reconstruction,based-on,supervised machine learning,Task,Method,0,1,1,1,1
daikon invariant inference tool,produces,cluster analysis,Method,Method,0,0,0,0,0
data analytics,uses,deep learning,Task,Method,1,1,1,0,1
data augmentation,based-on,deep learning,Task,Method,1,1,1,0,1
data augmentation,includes,deep learning,Task,Method,1,1,1,0,1
data augmentation,uses,supervised machine learning,Task,Method,1,1,1,0,1
data driven supervised approach,based-on,deep learning,Method,Method,1,1,1,1,1
data load format,uses,cluster analysis,OtherEntity,Method,0,0,0,0,0
data mining processes and technique,includes,decision tree,Method,Method,1,1,1,1,1
data mining related problem,uses,deep learning,Task,Method,1,1,1,1,1
data movement information,limits,supervised machine learning,OtherEntity,Method,0,0,0,0,0
data parallel code,improves,cluster analysis,Method,Method,0,1,1,1,1
data parallel code,uses,cluster analysis,Method,Method,0,1,0,1,1
data partition,uses,cluster analysis,OtherEntity,Method,1,0,1,0,0
data point,produces,cluster analysis,OtherEntity,Method,1,0,0,0,0
data preprocessing process,uses,cluster analysis,Method,Method,1,1,1,0,1
data set,processes,cluster analysis,Material,Method,0,0,0,0,0
data set,acquires,supervised machine learning,Material,Method,0,0,0,0,0
data set,uses,supervised machine learning,Material,Method,0,0,0,0,0
data stream,uses,supervised machine learning,Material,Method,0,0,0,0,0
database system,matches,cluster analysis,Material,Method,0,0,0,0,0
database system,uses,cluster analysis,Material,Method,0,0,0,0,0
database system,includes,supervised machine learning,Material,Method,0,0,0,0,0
datasets of product review data,uses,supervised machine learning,Material,Method,0,0,0,0,0
dci paradigm,guides,cluster analysis,Method,Method,0,0,0,1,0
dcnns lr classifier,based-on,deep learning,Method,Method,1,1,0,1,1
decentralized control mode,uses,cluster analysis,Task,Method,0,1,0,1,1
decision bee,includes,supervised machine learning,Method,Method,0,0,0,1,0
decision boundary,produces,pattern classification,Task,Task,1,1,0,1,1
decision forests of tree,based-on,decision tree,OtherEntity,Method,1,1,1,1,1
decision tree,provides,average value of accuracy,Method,Metric,1,1,1,1,1
decision tree,skos:broader/is/hyponym-of,base learner,Method,Method,1,1,1,1,1
decision tree,uses,bit value,Method,Method,1,0,0,1,0
decision tree,provides,changing policy,Method,OtherEntity,1,0,0,1,0
decision tree,learns,classification criterion,Method,Metric,0,1,0,1,1
decision tree,uses,classification model framework,Method,Method,1,1,1,1,1
decision tree,skos:broader/is/hyponym-of,data classification,Method,Task,1,0,1,1,1
decision tree,skos:broader/is/hyponym-of,data mining based method,Method,Method,1,1,1,1,1
decision tree,uses,decision tree induction methodology,Method,Method,1,1,1,1,1
decision tree,based-on,dynamic programming search method,Method,Method,1,1,0,1,1
decision tree,executes,evaluation metric measure,Method,Metric,0,0,1,1,1
decision tree,acquires,feature subset solution,Method,OtherEntity,1,1,1,1,1
decision tree,uses,features selection technique,Method,Method,1,1,1,1,1
decision tree,based-on,feedforward neural network,Method,Method,1,0,0,1,0
decision tree,uses,feedforward neural network,Method,Method,1,0,0,1,0
decision tree,manages,functional input variable,Method,OtherEntity,1,0,0,1,0
decision tree,uses,fuzzy expert system,Method,Method,1,1,0,1,1
decision tree,uses,fuzzy logic inference,Method,Method,1,1,0,1,1
decision tree,includes,heterogeneous structure,Method,OtherEntity,1,0,0,1,0
decision tree,uses,hevc transcoding model,Method,Method,0,1,0,1,1
decision tree,produces,id3 algorithm,Method,Method,1,1,1,1,1
decision tree,uses,information gain value,Method,Metric,1,1,1,1,1
decision tree,skos:broader/is/hyponym-of,intelligent system and method,Method,Method,1,1,1,1,1
decision tree,skos:broader/is/hyponym-of,learning algorithms and procedure,Method,Method,1,1,1,1,1
decision tree,skos:broader/is/hyponym-of,learning based approach,Method,Method,1,1,1,1,1
decision tree,improves,learning process aspect,Method,OtherEntity,1,1,1,1,1
decision tree,uses,linear structured chromosome,Method,OtherEntity,0,1,0,0,0
decision tree,uses,lookup memory,Method,OtherEntity,0,1,0,1,1
decision tree,skos:broader/is/hyponym-of,machine learning method,Method,Method,1,1,1,1,1
decision tree,includes,medical science,Method,Task,1,0,0,1,0
decision tree,extracts,naive bayesian classifier,Method,Method,1,0,0,0,0
decision tree,skos:broader/is/hyponym-of,named entity candidate,Method,OtherEntity,0,0,0,1,0
decision tree,uses,network intrusion detection,Method,Task,1,1,0,1,1
decision tree,executes,non uniform probability distribution,Method,Method,0,1,0,1,1
decision tree,solves,offline password guessing attack,Method,Task,1,1,0,0,0
decision tree,analyzes,pattern of the foot disorder,Method,Task,1,1,0,0,0
decision tree,skos:broader/is/hyponym-of,pattern recognition based system,Method,Method,1,1,1,1,1
decision tree,annotates,pedestrian in,Method,Method,1,0,0,0,0
decision tree,includes,plurality of second node,Method,OtherEntity,1,0,0,0,0
decision tree,acquires,preferred action,Method,OtherEntity,1,1,0,0,0
decision tree,uses,preprocessing and postprocessing method,Method,Method,1,1,1,1,1
decision tree,based-on,probabilistic framework,Method,Method,1,1,0,1,1
decision tree,identifies,problem independent and scalable architecture,Method,Method,0,0,0,0,0
decision tree,uses,production rule,Method,Method,1,1,1,1,1
decision tree,uses,real time data reading,Method,Task,0,1,0,0,0
decision tree,produces,recognition network representation,Method,Method,0,1,0,0,0
